goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2016
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkDay19Part2-16    	 6116800	       196.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part2-16    	 6188791	       195.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part2-16    	 6171140	       195.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part2-16    	 6123609	       195.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part2-16    	 6126795	       194.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part2-16    	 6210596	       195.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part2-16    	 6166297	       195.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part2-16    	 6127614	       195.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part2-16    	 6122734	       195.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay19Part2-16    	 6130518	       194.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay20Part1-16    	   12538	     95226 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part1-16    	   12723	     94567 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part1-16    	   12602	     95141 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part1-16    	   12721	     94420 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part1-16    	   12765	     93651 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part1-16    	   12706	     94299 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part1-16    	   12808	     93291 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part1-16    	   12650	     95311 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part1-16    	   12522	     95445 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part1-16    	   12747	     94890 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12494	     96352 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12793	     93942 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12926	     93420 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12626	     95266 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12424	     97129 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12862	     93790 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12465	     97010 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12735	     94618 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12574	     95406 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay20Part2-16    	   12745	     94735 ns/op	   60592 B/op	    1118 allocs/op
BenchmarkDay21Part1-16    	   56469	     21658 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part1-16    	   55332	     21909 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part1-16    	   55711	     21750 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part1-16    	   54375	     21977 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part1-16    	   56046	     21793 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part1-16    	   56226	     22122 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part1-16    	   54801	     21922 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part1-16    	   54164	     21662 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part1-16    	   57034	     21655 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part1-16    	   53683	     21790 ns/op	   25000 B/op	     613 allocs/op
BenchmarkDay21Part2-16    	   54736	     22017 ns/op	   25144 B/op	     631 allocs/op
